Iadj0,Iadj1,Iadj2,lmdaAdj0,lmdaAdj1,lmdaAdj2,resL0,resL1,resL2,resS0,resS1,resS2,jac0,jac1,jac2,varName0,varName1,varName2,xVal0,xVal1,xVal2,serVal0,serVal1,serVal2,indx0,indx1,indx2,scenario_0,connect_0,flow_0,flow_1,flow_2,hoihab_0,hoihab_1,hoihab_2,hoihab_3,hoihab_4,hoihab_5,hoihab_6,hoihab_7,hoihab_8,hoiloss_0,hoiloss_1,hoiloss_2,hoiloss_3,hoiloss_4,hoiloss_5,hoiloss_6,hoiloss_7,hoiloss_8,hoidrec_0,hoidrec_1,hoidrec_2,hoidrec_3,hoidrec_4,hoidrec_5,hoidrec_6,hoidrec_7,hoidrec_8,hoitroph_0,hoitroph_1,hoitroph_2,hoitroph_3,hoitroph_4,hoitroph_5,hoitroph_6,hoitroph_7,hoitroph_8,troph_0,troph_1,troph_2,troph_3,troph_4,troph_5,troph_6,troph_7,troph_8,eta_0,eg_0,mXctr_0,mXctr_1,mXctr_2,minCtr_0,minCtr_1,minCtr_2,maxCtr_0,maxCtr_1,maxCtr_2,Xstoch_0,Xstoch_1,Xstoch_2,Xcov_0,Xcov_1,Xcov_2,Xcov_3,Xcov_4,Xcov_5,Xcov_6,Xcov_7,Xcov_8,mXadj_0,mXadj_1,mXadj_2,minAdj_0,minAdj_1,minAdj_2,maxAdj_0,maxAdj_1,maxAdj_2,XstochAdj_0,XstochAdj_1,XstochAdj_2,XcovAdj_0,XcovAdj_1,XcovAdj_2,XcovAdj_3,XcovAdj_4,XcovAdj_5,XcovAdj_6,XcovAdj_7,XcovAdj_8,jacAll_0,jacAll_1,jacAll_2,jacAll_3,jacAll_4,jacAll_5,jacAll_6,jacAll_7,jacAll_8,jacAllAdj_0,jacAllAdj_1,jacAllAdj_2,jacAllAdj_3,jacAllAdj_4,jacAllAdj_5,jacAllAdj_6,jacAllAdj_7,jacAllAdj_8
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.01,1.0,7.452710122281486e-08,0.02478709513140986,0.49752152086787854,1.4520282879975852e-22,0.024787072986465254,0.49751908230502906,1.0377185743305493e-11,0.024787113992119417,0.4975243840528972,4.705232426709349e-11,0.02478615937352383,0.49751615442509206,2.1159883079455467e-19,2.457085468863451e-15,-5.485786275245855e-15,2.457085468863451e-15,3.9591919622096045e-09,9.047056840710874e-10,-5.485786275245855e-15,9.047056840710874e-10,2.0216779648358883e-07,3.845321705040293e-08,0.04448803949337485,0.4955624082551274,7.491926829981932e-23,0.031868253688405825,0.4953463924413252,5.354242540015866e-12,0.04664009776241595,0.49681693169036084,4.892286230856962e-12,0.0309999556768443,0.4969094905927581,6.648269496071538e-20,1.716761330015964e-14,-3.231781366512749e-15,1.716761330015964e-14,3.837993470525027e-06,-3.7970187332837584e-07,-3.231781366512749e-15,-3.7970187332837584e-07,2.386039046844354e-07,-0.009999999999999995,0.0,0.0,0.0,-0.08328349259103088,-0.016716507409302563,0.0,0.007144493238416521,-1.00714449323838,-0.009999999999999995,0.0,0.0,0.0,-0.00023703413741459745,-0.09976296586258537,0.0,0.005392746871264135,-1.0053927468712722
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.06619718309859154,1.0,1.5289151063140868e-07,0.156646206171969,0.48433560651799695,2.9788197148594264e-22,0.15664606778319817,0.4843331953716157,2.128867993421109e-11,0.15664632263584222,0.4843384715663402,-1.1661899474672965e-10,0.15660743274426622,0.48435153713461987,1.1946527487323456e-18,-8.792735340295639e-16,-2.8761380948345094e-15,-8.792735340295639e-16,1.428300387900506e-07,-3.04059475106364e-10,-2.8761380948345094e-15,-3.04059475106364e-10,1.9704679421449203e-07,7.088817819836731e-08,0.15854603798545328,0.48414908039735116,1.3811303315882611e-22,0.156659220859993,0.4842175985058483,9.870500530389451e-12,0.15783531153911967,0.48433704792261284,5.5815408440025454e-11,0.15558424080342007,0.4844273763087743,3.901842669355335e-19,1.2476700080242736e-13,-1.4049314143244985e-14,1.2476700080242736e-13,9.207194496465806e-06,-8.868827826823841e-07,-1.4049314143244985e-14,-8.868827826823841e-07,2.8275022692606375e-07,-0.009999999999999995,0.0,0.0,0.0,-0.08300988809300024,-0.016990111907050746,0.0,0.04649926663009648,-1.0464992666300765,-0.009999999999999995,0.0,0.0,0.0,-2.3330252102438794e-05,-0.0999766697478976,0.0,0.019896128994004062,-1.0198961289940214
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.1223943661971831,1.0,8.629777779677645e-08,0.27722137178566103,0.47227808720380976,1.681359028845172e-22,0.277221132343272,0.472275700321002,1.2016139829502311e-11,0.27722157361187627,0.47228091894295166,-3.7769360311971475e-12,0.2772289163417237,0.47226790039282507,5.157427168658215e-19,-2.879455890368573e-14,6.5046670759382575e-15,-2.879455890368573e-14,5.087966103110211e-07,-7.64210438474444e-09,6.5046670759382575e-15,-7.64210438474444e-09,1.8189568225838175e-07,1.819659560325501e-07,0.27740485438782025,0.4722603098791107,3.54528367884933e-22,0.2772247824006562,0.4722727344356184,2.533701826154806e-11,0.27725480213075787,0.4722805700566318,3.9481228061914986e-11,0.27833982836559407,0.472192974512732,2.008734473983342e-18,4.091739312334247e-13,-5.5629465954191504e-14,4.091739312334247e-13,3.329498600019444e-06,-3.213464852135498e-07,-5.5629465954191504e-14,-3.213464852135498e-07,2.1001044675230294e-07,-0.009999999999999993,0.0,0.0,0.0,-0.08274632470536775,-0.017253675294654196,0.0,0.08458918190038686,-1.0845891819003952,-0.009999999999999993,0.0,0.0,0.0,-2.2349958768822476e-06,-0.09999776500412305,0.0,0.03604296054671966,-1.0360429605467183
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.17859154929577464,1.0,1.29776408342292e-07,0.3880741667191353,0.46119280417854985,2.5284629738752205e-22,0.3880738379989386,0.46119044297309747,1.8070123113339782e-11,0.38807444341745095,0.46119560930408177,-3.424057762427534e-10,0.38802731596847767,0.46118364793259586,8.556788200612669e-19,2.4542739030996858e-14,-1.6443416842488286e-14,2.4542739030996858e-14,9.777797922316872e-07,-1.1698200630465819e-08,-1.6443416842488286e-14,-1.1698200630465819e-08,1.6565571844179806e-07,1.9654218597401887e-08,0.3880691028046974,0.4611932754742099,3.82927564756102e-23,0.38807715241690394,0.46119009767943325,2.7366618809907478e-12,0.38807769139878945,0.4611952893155681,-1.35980197755439e-13,0.3883348826384056,0.4611592505150785,2.1458692997456355e-20,-3.785436854246105e-14,4.328273591545589e-15,-3.785436854246105e-14,8.1497464897673e-06,-7.517859112401298e-07,4.328273591545589e-15,-7.517859112401298e-07,2.396943457982735e-07,-0.009999999999999993,0.0,0.0,0.0,-0.08249185412059942,-0.017508145879389692,0.0,0.12151859138034572,-1.1215185913803196,-0.009999999999999993,0.0,0.0,0.0,1.388215373764285e-07,-0.1000001388215423,0.0,0.052104413955490814,-1.052104413955503
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.2347887323943662,1.0,2.529072022599058e-08,0.4904754941798281,0.4509526693980479,4.927447945924928e-23,0.4904750867341258,0.45095033080914965,3.52149080055048e-12,0.49047583733255795,0.45095544613527916,-7.283727868778979e-11,0.49049819631916697,0.4509484919738726,2.2632486924673098e-20,-2.719584807239416e-14,7.642101576416138e-16,-2.719584807239416e-14,1.5165718346662752e-06,1.863594606071531e-09,7.642101576416138e-16,1.863594606071531e-09,1.56681807759197e-07,1.4920768273693156e-07,0.49048399170020923,0.4509518548214279,2.9070468667278236e-22,0.49047865377598,0.4509499777145233,2.0775742147669736e-11,0.4904790000427514,0.4509551303316024,-1.2319691344255515e-11,0.4892338495683678,0.45106309933172645,9.513432528456947e-19,-9.251816848849018e-14,-3.787211888538544e-15,-9.251816848849018e-14,1.8912904779395812e-05,-1.7704575702646976e-06,-3.787211888538544e-15,-1.7704575702646976e-06,3.3175337789736037e-07,-0.009999999999999995,0.0,0.0,0.0,-0.08224566798725463,-0.017754332012713106,0.0,0.1573778176242626,-1.1573778176243374,-0.009999999999999993,0.0,0.0,0.0,-3.6085741057812715e-08,-0.09999996391425917,0.0,0.0679250816919893,-1.0679250816920056
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.29098591549295777,1.0,1.1839212697375563e-07,0.5854722133635206,0.4414529940432401,2.30666045742964e-22,0.5854717400868827,0.441450679748108,1.6484970861445303e-11,0.5854726152294639,0.4414557195749108,1.2182862503539644e-10,0.5857392613315766,0.4414487881941558,9.519688950719067e-19,1.639453139203719e-13,-5.265569759927157e-15,1.639453139203719e-13,2.049815359719359e-06,-5.173828244006421e-09,-5.265569759927157e-15,-5.173828244006421e-09,1.5205979561029174e-07,4.513100407603402e-08,0.5854762315485483,0.4414526025186339,8.792975105759137e-23,0.5854752478405579,0.44145033035101644,6.284060487713057e-12,0.5854756468892656,0.4414554561186973,-1.2999050993055799e-10,0.5886844916417583,0.44116543823153725,9.826974855586564e-20,3.106202156914869e-13,-2.969896559153498e-14,3.106202156914869e-13,1.9381628353829814e-05,-1.785145367785543e-06,-2.969896559153498e-14,-1.785145367785543e-06,3.190946192091413e-07,-0.009999999999999995,0.0,0.0,0.0,-0.08200707131232225,-0.017992928687697654,0.0,0.19224571179907207,-1.1922457117990692,-0.009999999999999993,0.0,0.0,0.0,2.1474718901111142e-08,-0.10000002147471894,0.0,0.08348525417485796,-1.0834852541748377
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.3471830985915493,1.0,1.9227246923759398e-07,0.6739359841883532,0.43260618840319437,3.7460877945871463e-22,0.6739355283199815,0.4326034546192212,2.677210160708159e-11,0.6739365262272474,0.4326084875764527,5.102143531829452e-11,0.674072289361704,0.43259962974073396,1.3064839068659227e-18,7.81959896283048e-14,1.4285050421732837e-14,7.81959896283048e-14,2.8662605920540366e-06,-3.75812243607934e-08,1.4285050421732837e-14,-3.75812243607934e-08,1.4222911747180333e-07,1.394183702480174e-07,0.6739329232224623,0.43260692953043267,2.7163194879916694e-22,0.6739325120341645,0.4326046482095699,1.941267405110639e-11,0.6739329679633402,0.43260967703511977,-3.4186378402035765e-10,0.6743970005726958,0.432566719235781,9.782745062698171e-19,2.77690554491645e-13,-2.5063510958248055e-14,2.77690554491645e-13,3.304157099054166e-05,-2.95726959006795e-06,-2.5063510958248055e-14,-2.95726959006795e-06,4.1249833641957615e-07,-0.009999999999999993,0.0,0.0,0.0,-0.08177550591648383,-0.018224494083517343,0.0,0.22619160014866999,-1.2261916001486337,-0.009999999999999995,0.0,0.0,0.0,3.0420166987015866e-08,-0.10000003042016695,0.0,0.09879709560129753,-1.098797095601284
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.40338028169014084,1.0,1.6542236192889844e-07,0.7565991529257894,0.4243402964368678,3.2229611104369113e-22,0.7565985556622064,0.4243380161291928,2.30334810759796e-11,0.7565996566776872,0.4243430000292662,-1.0343909359274917e-10,0.7566951127715899,0.4243297644094593,1.3749793826811836e-18,1.5065699025699004e-13,5.782235022006539e-15,1.5065699025699004e-13,3.5535138084330202e-06,-2.196335670244493e-08,5.782235022006539e-15,-2.196335670244493e-08,1.306573547429227e-07,6.378379148540351e-08,0.756602301871614,0.42433998616420054,1.2427139660249334e-22,0.7566020100229808,0.424337674376721,8.88128265767584e-12,0.7566025243434524,0.42434265862316695,-7.674385496486521e-11,0.7565657646903979,0.4243518016775456,2.190038616088737e-19,-6.589356039636674e-13,5.487084576459081e-14,-6.589356039636674e-13,3.0212972506779108e-05,-2.6233778059842726e-06,5.487084576459081e-14,-2.6233778059842726e-06,3.6700573561070084e-07,-0.009999999999999995,0.0,0.0,0.0,-0.08155030808949583,-0.018449691910507913,0.0,0.25927701404884806,-1.2592770140489116,-0.009999999999999995,0.0,0.0,0.0,3.26544977724552e-08,-0.10000003265449914,0.0,0.11387312963352382,-1.1138731296334003
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.4595774647887324,1.0,1.700799700037391e-07,0.8340830881426038,0.4165919005988177,3.31370633682707e-22,0.8340824368341179,0.4165896333516858,2.3682008434484916e-11,0.8340836363900005,0.41659459403964844,1.2450333202591856e-10,0.8340596244810623,0.4165801326553538,1.595137013919803e-18,2.97580553400472e-13,-4.4949170040374665e-15,2.97580553400472e-13,4.272684427980349e-06,-4.1704463699619826e-08,-4.4949170040374665e-15,-4.1704463699619826e-08,1.254259355771726e-07,1.967104154259339e-07,0.834086160308762,0.41659159878632274,3.832553299438593e-22,0.8340858431367627,0.41658929971134023,2.7390043150542475e-11,0.8340864229073272,0.41659433166041177,-2.4929330337768723e-10,0.8354577925391447,0.416477621404495,1.849447162691181e-18,5.341159577925715e-13,-3.997729405706285e-14,5.341159577925715e-13,3.078590509083903e-05,-2.638494428814821e-06,-3.997729405706285e-14,-2.638494428814821e-06,3.6594041948121847e-07,-0.009999999999999993,0.0,0.0,0.0,-0.08133114978564977,-0.018668850214315087,0.0,0.291556580119983,-1.2915565801199653,-0.009999999999999997,0.0,0.0,0.0,3.349921762160946e-08,-0.10000003349921364,0.0,0.12871909333117232,-1.1287190933311673
0,0,1,1,1,1,72,0,0,1,0,0,1,1,1,eta,eg,0,0.01,4.0,0.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.515774647887324,1.0,1.643796933159003e-08,0.9069183954213795,0.4093083682912326,3.2026465630636434e-23,0.9069176972406873,0.4093061341219155,2.2888299448001444e-12,0.9069189789242468,0.4093110415388119,-2.2887015665952357e-12,0.9066886461813571,0.40931571694733787,1.1993428952943349e-20,9.514896117741598e-15,-1.0934000513689985e-15,9.514896117741598e-15,5.469740368461389e-06,-4.682079874115165e-08,-1.0934000513689985e-15,-4.682079874115165e-08,1.2886712815046622e-07,5.437287411978679e-08,0.9069214155817441,0.40930807238139566,1.0593589447372805e-22,0.9069210752761959,0.4093057854310688,7.570902461574249e-12,0.9069217051152565,0.40931075336430817,1.6000058359134915e-13,0.9055012520052077,0.40943262651709694,2.178757707755039e-19,3.941061444468015e-13,-2.6643203204108528e-14,3.941061444468015e-13,3.427974163265865e-05,-2.9078541047796977e-06,-2.6643203204108528e-14,-2.9078541047796977e-06,3.801582427682669e-07,-0.009999999999999993,0.0,0.0,0.0,-0.0811175739953701,-0.018882426004642468,0.0,0.32307936689540157,-1.3230793668952605,-0.009999999999999993,0.0,0.0,0.0,3.4239447721400484e-08,-0.10000003423944752,0.0,0.143344785637245,-1.1433447856372505
